NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2787994,10/3/2020,10/3/2020,15:04:00,15:32:48,"57,600","2,000,000","28,800","0,7","2,7",A,28,A28,aflopend,Utrecht-De Uithof,Rijnsweerd,Amersfoort,Utrecht,Incident op aansluitende weg,"[Geen oorzaakcode opgegeven door VWM 1], [Incident op aansluitende weg 3], [Eerder incident op aansluitende weg 25]","[000], [N69], [M15]",N69,Incident op aansluitende weg,Incident elders,Incident,Incident
2787633,10/1/2020,10/1/2020,16:09:00,16:28:07,"46,233","2,418,483","19,117","33,6","31,6",A,4,A4,oplopend,Limesaquaduct,Zoeterwoude-Rijndijk,Amsterdam,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 19],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787554,10/1/2020,10/1/2020,6:56:00,7:07:04,"22,133","2,000,000","11,067","57,7","59,7",A,12,A12,aflopend,Nieuwegein,Oudenrijn,Utrecht,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 11],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787651,10/1/2020,10/1/2020,16:21:00,16:26:05,"10,167","2,000,000","5,083","51,7","49,7",A,15,A15,oplopend,Benelux,Rotterdam-Heijplaat,Europoort,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787963,10/3/2020,10/3/2020,11:24:00,12:18:27,"155,633","2,858,280","54,450","35,5","37,5",A,27,A27,aflopend,Gorinchem,Industrieterrein Avelingen,Gorinchem,Breda,Extra verkeersdrukte door verkeer dat een omleiding volgt,"[Geen oorzaakcode opgegeven door VWM 1], [Extra verkeersdrukte door verkeer dat een omleiding volgt 54]","[000], [N61]",N61,Extra verkeersdrukte door verkeer dat een omleiding volgt,Werkzaamheden elders,Werkzaamheden,Aanleg en gepland onderhoud
2787959,10/3/2020,10/3/2020,11:19:00,12:13:27,"175,250","3,218,549","54,450","66,5","64,5",A,9,A9,oplopend,Akersloot,Heerhugowaard,Amstelveen,Alkmaar,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 42], [Eerder pechgeval 11]","[000], [HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2787761,10/1/2020,10/1/2020,22:33:00,22:59:27,"52,900","2,000,000","26,450","48,8","46,8",A,9,A9,oplopend,Wijkertunnel,Beverwijk-Oost,Amstelveen,Alkmaar,Wegwerkzaamheden,"[Geen oorzaakcode opgegeven door VWM 4], [Wegwerkzaamheden 22], [Geen oorzaakcode opgegeven door VWM 0]","[000], [RWK], [000]",RWK,Wegwerkzaamheden,Werkzaamheden,Werkzaamheden,Aanleg en gepland onderhoud
2787757,10/1/2020,10/1/2020,21:43:00,21:45:12,"4,400","2,000,000","2,200","48,8","46,8",A,9,A9,oplopend,Wijkertunnel,Beverwijk-Oost,Amstelveen,Alkmaar,Brugopening,"[Geen oorzaakcode opgegeven door VWM 1], [Brugopening 1], [Wegwerkzaamheden 0]","[000], [N73], [RWK]",N73,Brugopening,Brugopening,Blokkade,Hoge intensiteit
2788351,10/6/2020,10/6/2020,16:49:00,16:51:47,"11,133","4,000,000","2,783","36,9","32,9",A,28,A28,oplopend,Nijkerk,Strand Nulde,Amersfoort,Zwolle,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 3],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788235,10/6/2020,10/6/2020,7:03:00,7:07:30,"9,000","2,000,000","4,500","5,1","7,1",A,1,A1,aflopend,Diemen-Noord,Watergraafsmeer,Amersfoort,Amsterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788352,10/6/2020,10/6/2020,16:49:00,16:52:03,"6,100","2,000,000","3,050","25,9","23,9",N,325,N325,oplopend,Westervoort,Presikhaaf,Arnhem,Arnhem Velperbroek,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 3],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788157,10/5/2020,10/5/2020,16:27:00,17:30:05,"191,083","3,029,062","63,083","136,9","134,9",A,12,A12,oplopend,Westervoort,Duiven,Arnhem,Oberhausen,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 63],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788159,10/5/2020,10/5/2020,16:28:00,16:57:04,"133,050","4,577,408","29,067","16,5","20,5",A,58,A58,aflopend,Oirschot,Best,Tilburg,Eindhoven,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 8], [Eerder pechgeval 12], [Geen oorzaakcode opgegeven door VWM 8]","[000], [HBD], [M13], [000]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2788174,10/5/2020,10/5/2020,16:52:00,17:07:50,"34,633","2,187,368","15,833","34,7","37,0",A,16,A16,aflopend,Drechttunnel,Zwijndrecht,Breda,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 16],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788163,10/5/2020,10/5/2020,16:36:00,16:55:03,"38,100","2,000,000","19,050","32,5","30,5",A,16,A16,oplopend,Hendrik-Ido-Ambacht,Zwijndrecht,Rotterdam,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 19],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788143,10/5/2020,10/5/2020,16:15:00,16:34:03,"54,200","2,845,144","19,050","60,1","57,1",A,15,A15,oplopend,Rotterdam-Zuidplein,Vaanplein,Europoort,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 19],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788365,10/6/2020,10/6/2020,17:41:00,17:51:04,"20,133","2,000,000","10,067","50,8","48,8",A,4,A4,oplopend,Rijswijk-Plaspoelpolder,Rijswijk,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 10],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788294,10/6/2020,10/6/2020,11:19:00,11:20:01,"0,102","100,000","1,017","21,0","20,9",A,10,A10,oplopend,Schinkelbrug,A10 Vanuit Amstel,De Nieuwe Meer,Coenplein,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788227,10/6/2020,10/6/2020,6:46:00,7:01:05,"32,167","2,132,597","15,083","32,9","34,9",A,15,A15,aflopend,Brielle,Havens 5500-5700,Ridderkerk,Europoort,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 15],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
