NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2789089,10/13/2020,10/13/2020,6:04:00,6:44:05,"109,550","2,733,056","40,083","159,2","161,2",A,2,A2,aflopend,De Hogt,Batadorp,Maastricht-Noord,Eindhoven,Ongeval(len),"[Ongeval(len) 26], [Eerder(e) ongeval(len) 14]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2789148,10/13/2020,10/13/2020,16:24:00,16:29:04,"10,133","2,000,000","5,067","45,0","47,0",A,20,A20,aflopend,Moordrecht,Nieuwerkerk Aan Den Ijssel,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789140,10/13/2020,10/13/2020,16:09:00,16:20:05,"25,133","2,267,669","11,083","35,4","37,4",A,16,A16,aflopend,Drechttunnel,Zwijndrecht,Breda,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 11],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789144,10/13/2020,10/13/2020,16:19:00,16:26:04,"14,133","2,000,000","7,067","50,3","48,3",A,4,A4,oplopend,Rijswijk-Plaspoelpolder,Rijswijk,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2789160,10/13/2020,10/13/2020,17:40:00,19:28:50,"326,500","3,000,000","108,833","23,7","20,7",A,37,A37,oplopend,Oosterhesselen,Holsloot,Hoogeveen,Knooppunt Holsloot,Wegwerkzaamheden,[Wegwerkzaamheden 109],[RWK],RWK,Wegwerkzaamheden,Werkzaamheden,Werkzaamheden,Aanleg en gepland onderhoud
2787565,10/1/2020,10/1/2020,8:44:00,8:59:05,"42,300","2,804,420","15,083","54,1","50,1",A,58,A58,oplopend,Tilburg-Reeshof,Bavel,Tilburg,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 15],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788010,10/3/2020,10/3/2020,15:46:00,15:50:03,"8,100","2,000,000","4,050","25,7","27,7",A,27,A27,aflopend,Nieuwendijk,Hank,Gorinchem,Breda,Eerder(e) ongeval(len),"[Geen oorzaakcode opgegeven door VWM 1], [Eerder(e) ongeval(len) 3]","[000], [ACA]",ACA,Eerder(e) ongeval(len),Ongeval,Ongeval,Ongeval
2787628,10/1/2020,10/1/2020,16:02:00,16:07:06,"10,200","2,000,000","5,100","50,4","48,4",A,4,A4,oplopend,Rijswijk-Plaspoelpolder,Rijswijk,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787828,10/2/2020,10/2/2020,14:02:00,14:26:04,"49,233","2,045,706","24,067","117,8","120,8",A,2,A2,aflopend,Rosmalen,Empel,Luik,Amsterdam,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 1], [Eerder(e) ongeval(len) 0], [Ongeval(len) 18], [Eerder(e) ongeval(len) 5]","[000], [ACA], [ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787657,10/1/2020,10/1/2020,16:28:00,16:31:04,"6,133","2,000,000","3,067","26,5","28,5",A,58,A58,aflopend,Brug Over Het Wilhelminakanaal Hm 20.7,Oirschot,Tilburg,Eindhoven,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 3],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787632,10/1/2020,10/1/2020,16:09:00,16:50:25,"95,733","2,311,469","41,417","68,9","70,9",A,16,A16,aflopend,Industrieterrein Breda 6000-7000,Galder,Antwerpen,Breda,Ongeval(len),"[Ongeval(len) 14], [Eerder(e) ongeval(len) 27]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787679,10/1/2020,10/1/2020,16:41:00,19:50:57,"835,983","4,401,071","189,950","47,8","49,8",A,15,A15,aflopend,Botlektunnel,Spijkenisse,Ridderkerk,Europoort,Ongeval vrachtwagen (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 11], [Ongeval met vrachtwagen(s) 65], [Opruimingswerkzaamheden 104], [Eerder(e) ongeval(len) 10]","[000], [ACH], [OCL], [ACA]",ACH,Ongeval met vrachtwagen(s),Ongeval vrachtwagen,Ongeval,Ongeval
2787559,10/1/2020,10/1/2020,7:36:00,8:09:04,"103,083","3,117,440","33,067","7,8","9,8",A,27,A27,aflopend,Oosterhout-Zuid,Breda-Noord,Gorinchem,Breda,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 2], [Defect(e) voertuig(en) 21], [Geen oorzaakcode opgegeven door VWM 11]","[000], [BKD], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2787611,10/1/2020,10/1/2020,15:11:00,15:22:04,"26,217","2,368,976","11,067","82,3","79,3",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 11],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787615,10/1/2020,10/1/2020,15:22:00,15:54:41,"98,050","3,000,000","32,683","19,7","22,7",A,10,A10,aflopend,Schinkelbrug,Amsterdam-Oud Zuid,Coenplein,Amstel,Eerder ongeval op aansluitende weg,"[Eerder ongeval op aansluitende weg 2], [Eerder pechgeval 31]","[M14], [M13]",M14,Eerder ongeval op aansluitende weg,Ongeval elders,Ongeval,Ongeval
2787953,10/3/2020,10/3/2020,10:20:00,10:36:05,"39,200","2,437,306","16,083","19,0","21,0",A,27,A27,aflopend,Geertruidenberg,Hooipolder,Gorinchem,Breda,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 16],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787672,10/1/2020,10/1/2020,16:39:00,16:41:18,"4,600","2,000,000","2,300","52,4","54,4",A,27,A27,aflopend,Everdingen,Lexmond,Utrecht,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 2],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787673,10/1/2020,10/1/2020,16:39:00,17:03:03,"70,100","2,914,761","24,050","79,6","81,6",A,15,A15,aflopend,Sliedrecht-West,Papendrecht,Gorinchem,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 24],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787653,10/1/2020,10/1/2020,16:24:00,16:25:06,"2,200","2,000,000","1,100","21,4","19,4",A,58,A58,oplopend,Brug Over Het Wilhelminakanaal Hm 20.7,Moergestel,Eindhoven,Tilburg,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788009,10/3/2020,10/3/2020,15:46:00,16:23:19,"83,683","2,242,519","37,317","22,6","19,6",A,16,A16,oplopend,Rotterdam-Feijenoord,Ridderkerk-Noord,Rotterdam,Breda,Werkzaamheden (en daarna ongeval),"[Geen oorzaakcode opgegeven door VWM 13], [Wegwerkzaamheden 6], [Ongeval(len) 18], [Geen oorzaakcode opgegeven door VWM 0]","[000], [RWK], [ACI], [000]",RWK,Wegwerkzaamheden,Werkzaamheden,Werkzaamheden,Aanleg en gepland onderhoud
2787864,10/2/2020,10/2/2020,15:56:00,16:36:03,"85,133","2,125,676","40,050","74,6","71,6",A,4,A4,oplopend,Pernis,Benelux,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 40],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787830,10/2/2020,10/2/2020,14:23:00,14:31:02,"16,067","2,000,000","8,033","47,2","45,2",A,9,A9,oplopend,Wijkertunnel,Beverwijk-Oost,Amstelveen,Alkmaar,Brugopening,"[Geen oorzaakcode opgegeven door VWM 1], [Brugopening 2], [Geen oorzaakcode opgegeven door VWM 5]","[000], [N73], [000]",N73,Brugopening,Brugopening,Blokkade,Hoge intensiteit
2787861,10/2/2020,10/2/2020,15:50:00,17:42:22,"512,500","4,560,961","112,367","56,3","54,3",A,27,A27,oplopend,Lexmond,Everdingen,Gorinchem,Utrecht,Defecte bus(sen),"[Defecte bus(sen) 101], [Eerder pechgeval 12]","[BDB], [M13]",BDB,Defecte bus(sen),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2787831,10/2/2020,10/2/2020,14:25:00,14:26:04,"2,133","2,000,000","1,067","158,2","156,2",A,2,A2,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787787,10/2/2020,10/2/2020,9:40:00,9:55:46,"31,533","2,000,000","15,767","19,1","21,1",A,10,A10,aflopend,Amsterdam-Oud Zuid,Amsterdam-Rivierenbuurt,Coenplein,Amstel,Defect(e) voertuig(en),[Defect(e) voertuig(en) 16],[BKD],BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2787647,10/1/2020,10/1/2020,16:19:00,16:52:06,"66,200","2,000,000","33,100","64,3","62,3",A,2,A2,oplopend,Utrecht-Papendorp,Oudenrijn,Amsterdam,'s-Hertogenbosch,Ongeval (met opruim/berging),"[Ongeval(len) 9], [Opruimingswerkzaamheden 17], [Eerder(e) ongeval(len) 7]","[ACI], [OCL], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787872,10/2/2020,10/2/2020,16:18:00,16:22:05,"8,167","2,000,000","4,083","160,4","158,4",A,2,A2,oplopend,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787728,10/1/2020,10/1/2020,19:00:00,19:18:24,"39,817","2,163,949","18,400","32,0","34,0",A,20,A20,aflopend,Rotterdam-Crooswijk,Rotterdam-Noord,Gouda,Hoek van Holland,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 18], [Geen oorzaakcode opgegeven door VWM 0]","[000], [ACI], [000]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787825,10/2/2020,10/2/2020,13:41:00,13:44:19,"6,633","2,000,000","3,317","119,0","121,0",A,2,A2,aflopend,Vught,Sint-Michielsgestel,Eindhoven,'s-Hertogenbosch,Ongeval(len),[Ongeval(len) 3],[ACI],ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787655,10/1/2020,10/1/2020,16:24:00,16:45:06,"42,200","2,000,000","21,100","56,6","58,6",A,4,A4,aflopend,Gaag-Aquaduct,Den Hoorn,Rotterdam,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 21],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787625,10/1/2020,10/1/2020,15:46:00,16:35:07,"132,367","2,694,944","49,117","83,9","80,9",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 49],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787706,10/1/2020,10/1/2020,17:35:00,17:40:04,"10,133","2,000,000","5,067","31,2","33,2",A,20,A20,aflopend,Rotterdam-Crooswijk,Rotterdam-Noord,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787699,10/1/2020,10/1/2020,17:28:00,17:52:10,"60,800","2,515,862","24,167","25,9","28,9",A,58,A58,aflopend,Brug Over Het Wilhelminakanaal Hm 20.7,Oirschot,Tilburg,Eindhoven,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 5], [Geen oorzaakcode opgegeven door VWM 19]","[000], [BKD], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2788000,10/3/2020,10/3/2020,15:22:00,15:29:55,"15,833","2,000,000","7,917","18,7","16,7",A,28,A28,oplopend,Leusden-Zuid,Leusden,Utrecht,Zwolle,Voorwerpen op de weg,"[Geen oorzaakcode opgegeven door VWM 1], [Voorwerpen op de weg 7]","[000], [OBR]",OBR,Voorwerpen op de weg,Lading op de weg,Incident (obstakel op de weg),Incident
2787686,10/1/2020,10/1/2020,17:06:00,17:11:04,"10,133","2,000,000","5,067","34,8","36,8",A,27,A27,aflopend,Industrieterrein Avelingen,Merwedebrug,Gorinchem,Breda,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787741,10/1/2020,10/1/2020,20:00:00,21:06:24,"132,800","2,000,000","66,400","20,9","18,9",A,16,A16,oplopend,Rotterdam-Feijenoord,Ridderkerk-Noord,Rotterdam,Breda,Defecte vrachtwagen (en files buiten spits zonder oorzaak),"[Geen oorzaakcode opgegeven door VWM 2], [Defecte bus(sen) 19], [Geen oorzaakcode opgegeven door VWM 46]","[000], [BDB], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2787668,10/1/2020,10/1/2020,16:36:00,16:45:06,"18,200","2,000,000","9,100","34,3","32,3",A,4,A4,oplopend,Zoeterwoude-Rijndijk,Zoeterwoude-Dorp,Amsterdam,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 9],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787915,10/2/2020,10/2/2020,19:04:00,20:21:54,"282,150","3,621,951","77,900","31,5","33,5",A,20,A20,aflopend,Rotterdam-Crooswijk,Rotterdam-Noord,Gouda,Hoek van Holland,Spoedreparatie,"[Geen oorzaakcode opgegeven door VWM 1], [Spoedreparatie 52], [Geen oorzaakcode opgegeven door VWM 25]","[000], [N32], [000]",N32,Spoedreparatie,Spoedreparatie,Spoedreparatie,Ongepland onderhoud
2787860,10/2/2020,10/2/2020,15:48:00,15:55:04,"14,133","2,000,000","7,067","81,6","79,6",A,15,A15,oplopend,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787549,10/1/2020,10/1/2020,6:52:00,6:57:03,"10,100","2,000,000","5,050","75,1","77,1",A,15,A15,aflopend,Noordtunnel,Hendrik-Ido-Ambacht,Gorinchem,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787805,10/2/2020,10/2/2020,11:50:00,12:12:46,"55,233","2,426,062","22,767","93,6","91,6",A,2,A2,oplopend,Martinus Nijhoffbrug,Zaltbommel,Utrecht,'s-Hertogenbosch,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 22]","[000], [HBD]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2787660,10/1/2020,10/1/2020,16:31:00,16:37:05,"12,167","2,000,000","6,083","51,7","49,7",A,27,A27,oplopend,Lexmond,Everdingen,Gorinchem,Utrecht,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 6],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787876,10/2/2020,10/2/2020,15:50:00,16:28:04,"144,267","3,789,842","38,067","48,9","44,9",A,27,A27,oplopend,Noordeloos,Lexmond,Gorinchem,Utrecht,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 38],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787873,10/2/2020,10/2/2020,16:18:00,16:19:04,"3,200","3,000,000","1,067","16,5","19,5",A,58,A58,aflopend,Oirschot,Best,Tilburg,Eindhoven,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2787800,10/2/2020,10/2/2020,11:24:00,13:44:11,"520,817","3,715,254","140,183","53,4","51,4",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Ongeval vrachtwagen (met defecte vrachtwagen),"[Geen oorzaakcode opgegeven door VWM 2], [Ongeval met vrachtwagen(s) 30], [Geen oorzaakcode opgegeven door VWM 26], [Defecte vrachtwagen(s) 66], [Eerder pechgeval 16]","[000], [ACH], [000], [HBD], [M13]",ACH,Ongeval met vrachtwagen(s),Ongeval vrachtwagen,Ongeval,Ongeval
2787974,10/3/2020,10/3/2020,12:47:00,12:48:22,"4,100","3,000,000","1,367","91,5","88,5",A,15,A15,oplopend,Hardinxveld-Giessendam,Gorinchem,Ridderkerk,Gorinchem,Defecte vrachtwagen(s),[Defecte vrachtwagen(s) 1],[HBD],HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2787814,10/2/2020,10/2/2020,12:23:00,12:29:04,"12,133","2,000,000","6,067","15,6","13,6",A,10,A10,oplopend,Amsterdam-Rivierenbuurt,Amstel,Watergraafsmeer,De Nieuwe Meer,Opruimingswerkzaamheden,"[Geen oorzaakcode opgegeven door VWM 1], [Opruimingswerkzaamheden 5]","[000], [OCL]",OCL,Opruimingswerkzaamheden,Opruimwerkzaamheden,Incident (opruimwerkzaamheden),Incident
2787972,10/3/2020,10/3/2020,12:41:00,13:12:56,"63,867","2,000,000","31,933","94,6","92,6",A,58,A58,oplopend,Roosendaal,De Stok,Breda,Bergen op Zoom,Ongeval (met opruim/berging),"[Ongeval(len) 28], [Opruimingswerkzaamheden 4]","[ACI], [OCL]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787718,10/1/2020,10/1/2020,18:06:00,19:02:06,"112,200","2,000,000","56,100","24,0","22,0",N,325,N325,oplopend,Andrej Sacharovbrug,Westervoort,Arnhem,Arnhem Velperbroek,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Defect(e) voertuig(en) 55]","[000], [BKD]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2787969,10/3/2020,10/3/2020,12:34:00,14:02:58,"381,900","4,292,619","88,967","25,6","23,6",A,58,A58,oplopend,Brug Over Het Wilhelminakanaal Hm 20.7,Moergestel,Eindhoven,Tilburg,Ongeval (en defecte vrachtwagen),"[Geen oorzaakcode opgegeven door VWM 26], [Ongeval(len) 14], [Defecte vrachtwagen(s) 26], [Linker tunnelbuis geblokkeerd 0], [Eerder pechgeval 23]","[000], [ACI], [HBD], [N13], [M13]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2787970,10/3/2020,10/3/2020,12:38:00,12:57:02,"38,067","2,000,000","19,033","17,5","19,5",A,16,A16,aflopend,Rotterdam-Prins Alexander,Terbregseplein,Breda,Rotterdam,Wegwerkzaamheden,"[Geen oorzaakcode opgegeven door VWM 0], [Wegwerkzaamheden 19]","[000], [RWK]",RWK,Wegwerkzaamheden,Werkzaamheden,Werkzaamheden,Aanleg en gepland onderhoud
2787986,10/3/2020,10/3/2020,13:52:00,14:37:25,"91,883","2,023,119","45,417","32,5","29,5",A,16,A16,oplopend,Hendrik-Ido-Ambacht,Zwijndrecht,Rotterdam,Breda,Wegwerkzaamheden,"[Geen oorzaakcode opgegeven door VWM 1], [Wegwerkzaamheden 45]","[000], [RWK]",RWK,Wegwerkzaamheden,Werkzaamheden,Werkzaamheden,Aanleg en gepland onderhoud
2787983,10/3/2020,10/3/2020,13:12:00,13:52:37,"81,233","2,000,000","40,617","32,5","30,5",A,16,A16,oplopend,Hendrik-Ido-Ambacht,Zwijndrecht,Rotterdam,Breda,Wegwerkzaamheden,"[Geen oorzaakcode opgegeven door VWM 1], [Wegwerkzaamheden 40], [Geen oorzaakcode opgegeven door VWM 0]","[000], [RWK], [000]",RWK,Wegwerkzaamheden,Werkzaamheden,Werkzaamheden,Aanleg en gepland onderhoud
2787981,10/3/2020,10/3/2020,13:05:00,13:06:04,"2,133","2,000,000","1,067","32,5","30,5",A,16,A16,oplopend,Hendrik-Ido-Ambacht,Zwijndrecht,Rotterdam,Breda,Ophoogscript,[Ophoogscript 1],[YDP],YDP,Ophoogscript,Werkzaamheden gevonden door WiFi-script,Werkzaamheden,Aanleg en gepland onderhoud
2788126,10/5/2020,10/5/2020,14:24:00,14:41:13,"34,433","2,000,000","17,217","47,2","45,2",A,9,A9,oplopend,Wijkertunnel,Beverwijk-Oost,Amstelveen,Alkmaar,Brugopening,"[Geen oorzaakcode opgegeven door VWM 1], [Brugopening 16], [Geen oorzaakcode opgegeven door VWM 0]","[000], [N73], [000]",N73,Brugopening,Brugopening,Blokkade,Hoge intensiteit
2788148,10/5/2020,10/5/2020,16:21:00,16:40:06,"49,283","2,580,279","19,100","53,4","50,4",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 19],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788100,10/5/2020,10/5/2020,8:07:00,8:40:04,"76,183","2,303,932","33,067","31,6","34,6",A,20,A20,aflopend,Rotterdam-Crooswijk,Rotterdam-Noord,Gouda,Hoek van Holland,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 33],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788188,10/5/2020,10/5/2020,18:56:00,20:55:35,"337,183","2,819,652","119,583","15,7","13,7",A,13,A13,oplopend,Delft-Zuid,Rotterdam The Hague Airport,Rijswijk,Rotterdam,Ongeval (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 2], [Ongeval(len) 38], [Opruimingswerkzaamheden 55], [Opruimwerkzaamheden 24], [Spoedreparatie 0]","[000], [ACI], [OCL], [CLE], [N32]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2788119,10/5/2020,10/5/2020,13:22:00,13:29:05,"16,233","2,291,765","7,083","59,6","56,6",A,4,A4,oplopend,Ketheltunnel,Kethelplein,Den Haag,Rotterdam,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 7],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788161,10/5/2020,10/5/2020,16:35:00,16:57:00,"44,000","2,000,000","22,000","139,8","141,8",A,12,A12,aflopend,Zevenaar,Duiven,Oberhausen,Arnhem,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 9], [Eerder pechgeval 12]","[000], [HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2788114,10/5/2020,10/5/2020,13:11:00,13:48:21,"106,667","2,855,868","37,350","51,7","53,7",A,1,A1,aflopend,Hoevelaken,Hoevelaken,Apeldoorn,Amsterdam,Defect voertuig (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 1], [Opruimingswerkzaamheden 17], [Eerder pechgeval 20]","[000], [OCL], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2788153,10/5/2020,10/5/2020,16:23:00,16:31:04,"16,133","2,000,000","8,067","60,5","58,5",A,4,A4,oplopend,Ketheltunnel,Kethelplein,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 8],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788170,10/5/2020,10/5/2020,16:38:00,17:51:03,"494,600","6,770,705","73,050","80,8","88,8",A,15,A15,aflopend,Sliedrecht-Oost,Sliedrecht-West,Gorinchem,Ridderkerk,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 8], [Ongeval(len) 42], [Eerder(e) ongeval(len) 23]","[000], [ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2788135,10/5/2020,10/5/2020,15:52:00,16:04:03,"40,267","3,341,632","12,050","25,2","21,2",A,4,A4,oplopend,Roelofarendsveen,Hoogmade,Amsterdam,Den Haag,Ongeval (en daarna defect voertuig),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 1], [Defect(e) voertuig(en) 8], [Geen oorzaakcode opgegeven door VWM 3]","[000], [ACI], [BKD], [000]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2788972,10/12/2020,10/12/2020,7:31:00,7:42:05,"32,167","2,902,256","11,083","136,1","138,1",A,12,A12,aflopend,Duiven,Westervoort,Oberhausen,Arnhem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 11],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788974,10/12/2020,10/12/2020,7:43:00,7:52:06,"20,167","2,216,117","9,100","136,4","138,4",A,12,A12,aflopend,Duiven,Westervoort,Oberhausen,Arnhem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 9],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788963,10/12/2020,10/12/2020,6:05:00,7:38:28,"475,467","5,087,019","93,467","36,1","38,1",A,4,A4,aflopend,Leidschendam,Zoeterwoude-Dorp,Den Haag,Amsterdam,Defect(e) voertuig(en),"[Defect(e) voertuig(en) 54], [Geen oorzaakcode opgegeven door VWM 1], [Eerder pechgeval 39]","[BKD], [000], [M13]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
