,Unnamed: 0,NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4,coordinates,precipitationAmount
387,387,2787694,10/1/2020,10/1/2020,17:18:00,17:31:05,"26,167","2,000,000","13,083","17,4","19,4",A,16,A16,aflopend,Rotterdam-Prins Alexander,Terbregseplein,Breda,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 13],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.537145615, 51.93371251], [4.536764861, 51.9336968], [4.537453053999999, 51.93286949], [4.537121451, 51.93281939999999], [4.537786341, 51.93199147], [4.53747187, 51.93194539], [4.538117205, 51.9311448], [4.5378156480000005, 51.93108584], [4.5384017, 51.93027441], [4.5381101710000005, 51.93015905], [4.538646873, 51.92940299], [4.538302465, 51.929363200000004], [4.5388408710000006, 51.92850546], [4.538474281, 51.92848345], [4.538762163, 51.92756874], [4.538481145, 51.92758589], [4.538584548999999, 51.92667283], [4.538313274, 51.92669098], [4.538291877, 51.92578964], [4.538002758, 51.92580138], [4.537863038999999, 51.9249147], [4.53759561, 51.92494372], [4.537414983, 51.92407208], [4.537150936000001, 51.92408476], [4.536890044, 51.923207700000006], [4.536619055, 51.92324635], [4.536347437, 51.92236538], [4.536080522, 51.92242331], [4.535807991, 51.92155217], [4.535544866, 51.92161359], [4.535316165, 51.92070637], [4.535041215, 51.92077145], [4.534949698999999, 51.91982808], [4.534686344, 51.91989217], [4.53471424, 51.91898016], [4.534446497, 51.9190145], [4.53462786, 51.91811149], [4.534351638, 51.91811333], [4.534683353, 51.91720215], [4.5344170980000005, 51.91717695], [4.534857888, 51.91632433], [4.534599449, 51.91630119]]",72.0
388,388,2788134,10/5/2020,10/5/2020,15:51:00,16:12:06,"42,200","2,000,000","21,100","74,6","72,6",A,4,A4,oplopend,Pernis,Benelux,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 21],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.370715802, 51.90318231], [4.3698935489999995, 51.90312503], [4.370760314, 51.90230482], [4.369940314, 51.90222765], [4.370918779, 51.90143235], [4.3700717419999995, 51.90133255], [4.37118731, 51.90057075], [4.370349457, 51.90045102], [4.371581795, 51.89972331], [4.370762462, 51.89958908], [4.371230248, 51.89873856], [4.372070374, 51.89889851], [4.371863968, 51.89793666], [4.372674912, 51.89809049], [4.3725598660000005, 51.89715087], [4.373387674, 51.89731732], [4.37338188, 51.89641424], [4.3741889380000005, 51.89657771], [4.374232, 51.895689000000004], [4.375020965, 51.89585092], [4.375124586, 51.89498328], [4.375897308, 51.89514477], [4.375979232, 51.89426106], [4.376664685, 51.8943915], [4.376749638, 51.89350224], [4.3773026239999995, 51.89359326], [4.377367685, 51.89269375], [4.377811405, 51.89276369], [4.377808695, 51.89184093], [4.378191952, 51.89190715], [4.378107633, 51.89096431], [4.378438915, 51.89101705], [4.378684763, 51.89013539], [4.3783784919999995, 51.89009999], [4.3790550669999995, 51.88924671], [4.3786874760000005, 51.88920062], [4.379421853999999, 51.888389200000006], [4.379024725, 51.8883054], [4.379808854, 51.88753857], [4.379430845, 51.88741279], [4.379793441, 51.88654814], [4.380233933, 51.88667016]]",100.0
389,389,2788111,10/5/2020,10/5/2020,12:47:00,13:10:31,"47,033","2,000,000","23,517","28,5","30,5",A,67,A67,aflopend,Someren,Geldrop,Venlo,Eindhoven,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 19], [Eerder pechgeval 3]","[000], [HBD], [M13]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident,"[[5.572847678, 51.41031208], [5.572924033, 51.41020377], [5.5741085660000005, 51.41074357], [5.57417258, 51.41063711], [5.5753689920000005, 51.41117562], [5.5754308870000004, 51.41107187], [5.576626766, 51.41161069], [5.576700806, 51.41151061], [5.577884564, 51.41204575], [5.577952511, 51.41194303], [5.579134302999999, 51.412489799999996], [5.579211729, 51.4123755], [5.580383065, 51.41293494], [5.5804784629999995, 51.4128123], [5.581644625, 51.41336556], [5.5817278429999995, 51.41323882], [5.582914277, 51.41378699], [5.582989256, 51.41367361], [5.584180591, 51.414212299999996], [5.584261015, 51.41411205], [5.58544055, 51.41464499], [5.585505415, 51.41454083], [5.586700476, 51.41507773], [5.58678288, 51.41498099], [5.587958609, 51.41551251], [5.588038039, 51.41541344], [5.589216765, 51.41594728], [5.589279594, 51.4158425], [5.590479866, 51.41637641], [5.590545685, 51.41628492], [5.591744621, 51.41680366], [5.591808341, 51.41670312], [5.593024811, 51.41721198], [5.5930793770000005, 51.417099799999995], [5.594332222999999, 51.41758547], [5.594400557, 51.41747636], [5.595656095, 51.41793548], [5.595718356, 51.41781613], [5.597004235, 51.41824716], [5.597052712000001, 51.41813198], [5.5983650439999995, 51.41853691], [5.598405242, 51.41841977]]",47.0
390,390,2788124,10/5/2020,10/5/2020,13:58:00,14:08:08,"20,267","2,000,000","10,133","51,1","49,1",A,27,A27,oplopend,Lexmond,Everdingen,Gorinchem,Utrecht,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 10],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[5.013127983, 51.94880251], [5.01320171, 51.94867211], [5.013952797, 51.94954691], [5.014025816, 51.94941038], [5.014837232, 51.95024747], [5.014916809, 51.95011803], [5.015792718999999, 51.95092921], [5.015879319, 51.95078945], [5.016828674, 51.95156189], [5.016912211, 51.95141944], [5.017906129, 51.95215409], [5.017999874, 51.95201356], [5.019081376, 51.95270087], [5.0191691060000005, 51.95254485], [5.020314255, 51.95318191], [5.020400376, 51.95303545], [5.021595533999999, 51.95363029999999], [5.021717472, 51.95346708], [5.022900216, 51.95403199], [5.023004962, 51.95387154], [5.02425511, 51.9543689], [5.024345307, 51.95420278], [5.025628968, 51.95466733], [5.025717767, 51.95448104], [5.027031186, 51.95491655], [5.027105558, 51.95472718], [5.028447268, 51.95511661], [5.0285164060000005, 51.95491879], [5.0298800560000005, 51.95529194], [5.029935155, 51.95508445], [5.031321385, 51.95542632], [5.031363947, 51.95521568], [5.032769351000001, 51.95552448], [5.0328002089999995, 51.955310299999994], [5.034223238, 51.95560304], [5.034239256, 51.95538824], [5.0356648, 51.95565845], [5.0356981769999996, 51.95542188], [5.037150646000001, 51.95569555], [5.037132162, 51.95544476], [5.038600604, 51.95571411], [5.038585223, 51.95546359]]",43.0
391,391,2788180,10/5/2020,10/5/2020,17:27:00,17:59:04,"92,233","2,876,299","32,067","36,8","33,8",A,58,A58,oplopend,Tilburg-Centrum Oost,Tilburg-Centrum West,Eindhoven,Breda,Ongeval (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 0], [Opruimingswerkzaamheden 17], [Eerder(e) ongeval(len) 15]","[000], [OCL], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,"[[5.129523895, 51.55116124], [5.128547322, 51.55271498], [5.128275379, 51.55102906], [5.127123168, 51.55272838], [5.127121172, 51.55083497], [5.125734859, 51.55255866], [5.125910037, 51.55057334], [5.124379207, 51.55220866], [5.124786627, 51.55024796], [5.123186905, 51.55171226], [5.123688213, 51.54986114], [5.1221645019999995, 51.55109454], [5.122750663, 51.549468700000006], [5.12137896, 51.55037921], [5.1207599660000005, 51.549508700000004], [5.12172281, 51.54894705], [5.120108286000001, 51.54869401], [5.120713718999999, 51.54831534], [5.119761381, 51.54766009], [5.11933663, 51.5479835], [5.118952763999999, 51.54705055], [5.118423152, 51.54728529999999], [5.117948731, 51.54628199], [5.117490191, 51.54658052], [5.117060974, 51.54561195], [5.116582535, 51.54588005], [5.116148456, 51.54492615], [5.115712798000001, 51.54520509], [5.115243815, 51.54424626], [5.114785278, 51.54450633], [5.113825664, 51.54380102], [5.114326859, 51.54355707], [5.112912648, 51.54311146], [5.113414409, 51.54287124], [5.112009053, 51.54242037], [5.11250465, 51.54218596], [5.111099181, 51.54173249], [5.111568296000001, 51.54149798], [5.110189467, 51.54104454], [5.110657743, 51.54080531], [5.109285159, 51.54035384], [5.109739573, 51.54011578], [5.108367258, 51.53967015], [5.108837043, 51.5394237], [5.107377517, 51.53898154], [5.107866491, 51.53875757], [5.106395451, 51.53838057], [5.106796916, 51.5380916], [5.1052828130000005, 51.53779066], [5.105686695, 51.53751194], [5.104136315, 51.53729147], [5.10447198, 51.53697803], [5.1029246530000005, 51.5368194], [5.103105901, 51.53657488], [5.101852861, 51.53614867], [5.10166781, 51.5363943], [5.100390274, 51.53598366], [5.1005308639999996, 51.53582533], [5.099021651, 51.53570811], [5.09908306, 51.53553829], [5.097625915, 51.53549205], [5.097718893, 51.53532238]]",57.0
392,392,2788158,10/5/2020,10/5/2020,16:27:00,16:35:06,"16,200","2,000,000","8,100","49,7","47,7",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 8],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[5.469162081, 52.16607534], [5.469120181, 52.16593514], [5.47062364, 52.16596707], [5.470569589, 52.16582639999999], [5.472050242999999, 52.16585813], [5.472019595, 52.16572085], [5.473501528, 52.16574988], [5.4734698889999995, 52.16561674], [5.474892858, 52.16565254], [5.4749203689999995, 52.16551366], [5.47637127, 52.16541286], [5.476438673, 52.16553352], [5.477821176, 52.16530691], [5.477887298, 52.16542164], [5.47928739, 52.16520349], [5.4793369929999995, 52.16531473], [5.480788544, 52.16521806], [5.480742983, 52.16509103], [5.482239025, 52.16511566], [5.482195322000001, 52.1649848], [5.483688226, 52.16500601], [5.483648388, 52.16487986], [5.485138041, 52.164899600000005], [5.4851002310000005, 52.16477352], [5.486588027000001, 52.16479402], [5.48655254, 52.16466945], [5.488037812999999, 52.16468744], [5.488009926, 52.1645711], [5.489486793999999, 52.16457682], [5.489458589, 52.1644571], [5.490935739, 52.16446602], [5.490911446, 52.16434626], [5.492385327, 52.16435858], [5.492364021, 52.16423647], [5.493835957999999, 52.16425652], [5.493816067999999, 52.16412892], [5.4952865829999995, 52.16415446], [5.495273032999999, 52.16402112], [5.496736772, 52.16405005], [5.4967256639999995, 52.16391897], [5.4981864510000005, 52.16394304], [5.498176965, 52.16380795]]",40.0
393,393,2788178,10/5/2020,10/5/2020,17:21:00,18:12:56,"105,867","2,038,511","51,933","19,6","17,6",A,10,A10,oplopend,Amsterdam-Rivierenbuurt,Amsterdam-Oud Zuid,Amstel,De Nieuwe Meer,Ongeval (met opruim/berging),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 16], [Opruimingswerkzaamheden 35]","[000], [ACI], [OCL]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,"[[4.892033721000001, 52.33556803], [4.892907278, 52.33639263], [4.8909063239999995, 52.33614328], [4.89197992, 52.33688478], [4.889755632, 52.3367115], [4.890877641, 52.33745975], [4.8885687110000005, 52.33725897], [4.889686586, 52.33807315], [4.887453111, 52.33769077], [4.888312749, 52.33865984], [4.8863200980000006, 52.33803178], [4.8870117760000005, 52.33908999], [4.884931536, 52.33831319], [4.885387132, 52.33945984], [4.883772578, 52.3384534], [4.883876421, 52.33966741], [4.882398328, 52.33853676], [4.882408405, 52.33972962], [4.880941648, 52.338573], [4.880800547, 52.33970807], [4.879469747, 52.33859016], [4.879391352, 52.33966497], [4.877905712, 52.33859584], [4.8778405639999995, 52.33961774], [4.876117815, 52.33858814], [4.876176495, 52.33957222], [4.875113867, 52.33858004], [4.874909685, 52.33953422], [4.87361765, 52.33854905], [4.873434277, 52.33947996], [4.87215973, 52.33848396], [4.8720063730000005, 52.33941287], [4.87070801, 52.33841866], [4.87048472, 52.33933351], [4.8692283960000005, 52.33835236], [4.869020333, 52.33926752], [4.8676296930000005, 52.33827796], [4.86760726, 52.33920311], [4.866234049, 52.33821404], [4.866123933, 52.33913381], [4.864838307, 52.33814136], [4.864640545, 52.33906138]]",193.0
394,394,2788155,10/5/2020,10/5/2020,16:25:00,16:45:06,"64,200","3,194,030","20,100","14,8","11,8",A,7,A7,oplopend,Purmerend-Zuid,Purmerend,Zaanstad,Hoorn,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 20],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.908525332, 52.49896641], [4.90868561, 52.49878188], [4.909784755, 52.49945503], [4.90994267, 52.49927215], [4.910955679, 52.49990862], [4.911118599, 52.49972965], [4.912262503, 52.50041224], [4.912400987, 52.50022522], [4.913455262, 52.50087372], [4.913626761000001, 52.50069757], [4.914718232, 52.50136177], [4.915295004, 52.50134141], [4.915958165, 52.50183475], [4.916146309, 52.50167012], [4.917257526, 52.50231129], [4.9173662160000005, 52.50213942], [4.918638704, 52.5027331], [4.918716494, 52.50255826], [4.919991378, 52.50303677], [4.920065496, 52.50287862], [4.921499442, 52.50328098], [4.921522377, 52.50313676], [4.922994828, 52.5034172], [4.923004118, 52.50328301], [4.924562096, 52.50347177], [4.924581752, 52.50332744], [4.926097128, 52.50331748], [4.925929085, 52.50346413], [4.92729818, 52.50326816], [4.927401033, 52.5034541], [4.9285857360000005, 52.50327595], [4.928637172, 52.50342721], [4.930060371000001, 52.50333305], [4.930047823, 52.50349671], [4.931579405, 52.50360232], [4.9314500269999995, 52.50377162], [4.932885047, 52.50402085], [4.932704448, 52.50419589], [4.934524766, 52.504971], [4.934231498, 52.50511428], [4.9353335110000005, 52.50571167], [4.9350087480000004, 52.50583509], [4.9358173139999995, 52.50649904], [4.935538514, 52.50662406], [4.936077426000001, 52.50738616], [4.935799331, 52.50748214], [4.935783407, 52.50829683], [4.936047216, 52.50828199], [4.935826812, 52.50912752], [4.9355802639999995, 52.50908585], [4.935567025, 52.50993136], [4.935341351, 52.50989920000001], [4.935329687, 52.51068388], [4.935106838, 52.51066321], [4.935055926, 52.51157604], [4.934831632, 52.51154932], [4.93455613, 52.51242166], [4.934785334, 52.51245402], [4.934446298, 52.51341039999999], [4.934282938, 52.513352000000005], [4.934245131, 52.51430087], [4.934068996000001, 52.51424683]]",271.0
395,395,2788156,10/5/2020,10/5/2020,16:27:00,16:29:04,"6,200","3,000,000","2,067","94,6","97,6",A,73,A73,aflopend,Nijmegen-Dukenburg,Malden,Nijmegen,Maasbracht,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 2],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[5.837168745, 51.77215193], [5.836981874, 51.77215077], [5.837143576, 51.77305244], [5.836978335, 51.77304266], [5.837080157000001, 51.77395161], [5.8368726429999995, 51.77394137], [5.836919721, 51.77483408], [5.836691057, 51.77482179], [5.8366190389999995, 51.7757259], [5.836382121000001, 51.77569568], [5.83622481, 51.77659125], [5.836011504, 51.77656233], [5.835713087999999, 51.77743284], [5.835525529, 51.777406899999995], [5.835148997, 51.77826167], [5.834968665, 51.77823426], [5.8345000879999995, 51.77906599], [5.834307092, 51.77903162], [5.833763754, 51.77984051], [5.833571207, 51.77980341], [5.832906691, 51.78061135], [5.832745345, 51.78053947], [5.832044316, 51.78128742], [5.831844084, 51.78124016], [5.831080814, 51.78195986], [5.8308854310000005, 51.781910700000005], [5.8300051470000005, 51.78260011], [5.829835947, 51.78252705], [5.828881893999999, 51.78317898], [5.828720607999999, 51.78309723], [5.827775119, 51.78371028], [5.827572907, 51.78361523], [5.826565337999999, 51.78426138], [5.826374427, 51.78410787], [5.8253844070000005, 51.78478813], [5.825152589, 51.78458733], [5.8241973279999995, 51.78530541], [5.823891568, 51.78506985], [5.823012991000001, 51.78581677], [5.8227235870000005, 51.78551726], [5.8218075570000005, 51.78633301], [5.821483341, 51.78601345], [5.8206095829999995, 51.78684104], [5.820242522999999, 51.78652537], [5.819409777000001, 51.78734982], [5.819038216, 51.78702219], [5.81822103, 51.78785388], [5.817833896000001, 51.787519], [5.816995259, 51.78837362], [5.816629535, 51.7880158], [5.8158139360000005, 51.78887449], [5.815442881, 51.78852854], [5.814665151, 51.78935201], [5.814265073, 51.78904927], [5.8134508810000005, 51.78984439999999], [5.813087106, 51.78956986], [5.8122355610000005, 51.79033577], [5.811908702999999, 51.7900901], [5.811026182000001, 51.79083283], [5.810749256, 51.79062229], [5.809813563, 51.79134741], [5.809584161, 51.79116552]]",29.0
396,396,2788140,10/5/2020,10/5/2020,16:01:00,16:22:05,"52,267","2,479,051","21,083","18,5","16,5",A,13,A13,oplopend,Overschie,Kleinpolderplein,Rijswijk,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 21],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.415368532, 51.95153986], [4.415080328, 51.95153833], [4.416118587, 51.95086441], [4.415948993, 51.95073489], [4.416946516, 51.95014593], [4.416780075, 51.95003679999999], [4.417780561, 51.94941579], [4.417614448, 51.94929823], [4.418615247, 51.94868503], [4.418423993, 51.948589299999995], [4.4194815610000004, 51.947923700000004], [4.419230643, 51.94788324], [4.420362473, 51.94714373], [4.420084759, 51.94714409], [4.42122866, 51.94637679], [4.420923001, 51.94641127], [4.422102809, 51.94560275], [4.421758777, 51.94568297], [4.422430965, 51.94509494], [4.422786702, 51.94499699], [4.423417511, 51.94423837], [4.423721562, 51.94417432], [4.424262882, 51.94350645], [4.424545581, 51.94344553], [4.4251003110000005, 51.94276925], [4.425369857, 51.94272799], [4.4258298, 51.94212014], [4.426110693, 51.94208468], [4.426676791, 51.94139107], [4.426959836, 51.9413465], [4.427506254, 51.94065742], [4.427823461, 51.94058884], [4.428350367, 51.93992226], [4.428625031, 51.93988899], [4.429340484, 51.93904986], [4.429514011, 51.93911473], [4.430066056, 51.93840957], [4.4303061260000005, 51.9384398], [4.430915635, 51.93767808], [4.431134915, 51.93770989], [4.431825155, 51.9369078], [4.432012932, 51.93696631]]",80.0
397,397,2788133,10/5/2020,10/5/2020,15:40:00,16:22:05,"135,200","3,212,673","42,083","61,3","59,3",A,4,A4,oplopend,Ketheltunnel,Kethelplein,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 42],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.345291626, 51.96289462], [4.345039664, 51.96284123], [4.345720915, 51.96203588], [4.345462077, 51.96198116], [4.346159039, 51.96117882], [4.345907245, 51.96112547], [4.346618001, 51.96032593], [4.3463585060000005, 51.96027104], [4.347091527, 51.95947608], [4.346827939, 51.95942032], [4.347571015, 51.95862751], [4.347310094, 51.95857237], [4.348068013, 51.95778281], [4.347806706, 51.95772756], [4.348580378, 51.95694161], [4.348322822, 51.95688727], [4.349116321, 51.95610607], [4.348851305, 51.95604989], [4.349680739, 51.95527768], [4.349417068999999, 51.95522203], [4.350271277, 51.95445638], [4.350011573, 51.95440173], [4.350874543, 51.95363852], [4.3506098710000005, 51.95358249], [4.351475505, 51.95282002], [4.3512181210000005, 51.95276604], [4.352088714, 51.95200501], [4.351806573999999, 51.95194414], [4.352714531, 51.95118545], [4.35242775, 51.95112543], [4.353340834, 51.95036272], [4.353034447, 51.95030464], [4.35393883, 51.94954339], [4.353617824, 51.94948424], [4.354536803999999, 51.94872407], [4.354222857, 51.94867001], [4.355132863, 51.94790422], [4.354840122, 51.94785297], [4.355726457, 51.94708368], [4.355441055, 51.94703547], [4.356324437, 51.94626437], [4.356043758, 51.94621847]]",120.0
398,398,2788573,10/8/2020,10/8/2020,12:54:00,13:13:48,"53,633","2,708,754","19,800","15,3","18,3",A,10,A10,aflopend,Amsterdam-Rivierenbuurt,Amsterdam-Overamstel,De Nieuwe Meer,Watergraafsmeer,Extra verkeersdrukte door werkzaamheden elders,"[Geen oorzaakcode opgegeven door VWM 2], [Extra verkeersdrukte door werkzaamheden elders 18], [Geen oorzaakcode opgegeven door VWM 0]","[000], [N62], [000]",N62,Extra verkeersdrukte door werkzaamheden elders,Werkzaamheden elders,Werkzaamheden,Aanleg en gepland onderhoud,"[[4.921861583, 52.32984878], [4.921745468, 52.3300196], [4.920459234, 52.32957852], [4.920598358, 52.32941163], [4.919107755, 52.32918228], [4.919217819, 52.32903243], [4.917781898, 52.32887083], [4.917866143, 52.32869359], [4.916372121, 52.32863391], [4.916437567, 52.32846054], [4.914958517, 52.32850861], [4.914977029, 52.32833079], [4.913493613, 52.32832349], [4.913480712, 52.32848086], [4.912016626000001, 52.32837628], [4.9120104389999995, 52.32853499], [4.91053813, 52.32849274], [4.910550113, 52.32871719], [4.909083924, 52.32863197], [4.909232842, 52.32899012], [4.907672966, 52.32884366], [4.907886576, 52.32932332], [4.9060468539999995, 52.32916673], [4.906608045, 52.32969377], [4.904565692, 52.32960565], [4.9053703639999995, 52.33013459], [4.90362599, 52.32996435], [4.904130216, 52.33062321], [4.902442198999999, 52.33047779], [4.90292854, 52.33113171], [4.901291921, 52.33103125], [4.901764607, 52.33169175], [4.900153556999999, 52.33159389], [4.900647575, 52.332265500000005], [4.899015063, 52.33215643], [4.89955349, 52.33286183], [4.89787017, 52.33271647], [4.898434343, 52.33346111], [4.8967383060000005, 52.33328056], [4.897329974, 52.334036], [4.896220308999999, 52.33460036], [4.895597681, 52.33385412], [4.895079825, 52.33522234], [4.894381042, 52.33446589], [4.8940318419999995, 52.335796], [4.893188867, 52.33503201], [4.892033721000001, 52.33556803], [4.892907278, 52.33639263], [4.8909063239999995, 52.33614328], [4.89197992, 52.33688478], [4.889755632, 52.3367115], [4.890877641, 52.33745975], [4.8885687110000005, 52.33725897], [4.889686586, 52.33807315], [4.887453111, 52.33769077], [4.888312749, 52.33865984], [4.8863200980000006, 52.33803178], [4.8870117760000005, 52.33908999], [4.884931536, 52.33831319], [4.885387132, 52.33945984], [4.883772578, 52.3384534], [4.883876421, 52.33966741]]",108.0
399,399,2788744,10/9/2020,10/9/2020,11:19:00,14:55:31,"809,017","3,736,510","216,517","126,7","128,7",A,12,A12,aflopend,Waterberg,Grijsoord,Arnhem,Utrecht,ongeval (met spoedreparatie),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 31], [Schade aan wegmeubilair 88], [Spoedreparatie 97]","[000], [ACI], [M12], [N32]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval,"[[5.900196996, 52.01934785], [5.900196932999999, 52.01950772], [5.901595372, 52.01913369], [5.901610616, 52.0192902], [5.903000261, 52.01891692], [5.9030706870000005, 52.01906648], [5.904403262000001, 52.01871327], [5.904455472, 52.01886316], [5.90592259, 52.01864773], [5.905831321, 52.0185132], [5.907299413, 52.01844341], [5.907200298999999, 52.0183161], [5.9086616439999995, 52.018099299999996], [5.9087455339999995, 52.01822624], [5.910064628, 52.01788723], [5.91013045, 52.01801854], [5.911449076, 52.0176771], [5.911552451, 52.01780526], [5.9128742579999995, 52.01746077], [5.912930331, 52.01759857], [5.914356197999999, 52.01723581], [5.914337442000001, 52.01738749], [5.915779418, 52.01701973], [5.915759402999999, 52.01717415], [5.9171797999999995, 52.01695913], [5.9171355420000005, 52.01682234], [5.918539684, 52.01674283], [5.918446724, 52.01662216], [5.920104833, 52.01635561], [5.920136919, 52.01648361], [5.921516425, 52.01614391], [5.9215602270000005, 52.01625852], [5.922792791, 52.01594703], [5.922830359, 52.01606023], [5.924192821, 52.01572448], [5.924239008, 52.01583449], [5.92564639, 52.01562702], [5.925610375, 52.01550537], [5.926706245, 52.01547051], [5.92702953, 52.01529342], [5.928503364, 52.015189299999996], [5.928428932999999, 52.01508262]]",12.0
400,400,2788803,10/9/2020,10/9/2020,16:14:00,17:00:09,"104,450","2,263,272","46,150","1,7","3,7",A,28,A28,aflopend,Utrecht-De Uithof,Rijnsweerd,Amersfoort,Utrecht,Ongeval op aansluitende weg,"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval op aansluitende weg 19], [Eerder ongeval op aansluitende weg 26]","[000], [N65], [M14]",N65,Ongeval op aansluitende weg,Ongeval elders,Ongeval,Ongeval,"[[5.171449275, 52.09282521], [5.172925773, 52.09283809], [5.1729328610000005, 52.09266216], [5.174455339, 52.09285515], [5.174399347, 52.0927143], [5.175911845, 52.09287169], [5.17584422, 52.09272444], [5.177368437, 52.0928296], [5.177153081, 52.09269046], [5.178825225, 52.09277304], [5.178622577, 52.09264607], [5.180275443, 52.09269746], [5.180050803, 52.09259204], [5.181729106000001, 52.09262703], [5.181615032, 52.09253015], [5.183175844, 52.09256371], [5.183105961, 52.09247114], [5.184636083, 52.09252126], [5.184555963, 52.09241374], [5.186089406000001, 52.09248145], [5.18601144, 52.09236447], [5.187565195, 52.09234396], [5.187575218, 52.09246548], [5.1889581730000005, 52.09234], [5.188953664, 52.0924585], [5.190435817, 52.0923352], [5.1904438530000006, 52.0924655], [5.1918755889999995, 52.09236171], [5.191877622, 52.09249093], [5.193362812, 52.09239911], [5.19335472, 52.09253232], [5.194826175, 52.09244446], [5.194828603, 52.092575599999996], [5.196270406, 52.09250478], [5.196262563, 52.09263283], [5.197772145, 52.09256902], [5.19773453, 52.0927198], [5.19918255, 52.09289527], [5.199216132, 52.09272742], [5.200573773, 52.09317579], [5.2006067819999995, 52.09297613]]",51.0
401,401,2788651,10/8/2020,10/8/2020,17:28:00,17:38:05,"20,167","2,000,000","10,083","50,3","48,3",A,4,A4,oplopend,Rijswijk-Plaspoelpolder,Rijswijk,Den Haag,Rotterdam,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 10],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit,"[[4.355260006, 52.04647034], [4.355597949, 52.04636623], [4.3541239019999995, 52.04586831], [4.354468651, 52.04581665], [4.3532399139999995, 52.04521863], [4.352996363, 52.04533227], [4.352037328, 52.04471663], [4.351840413, 52.04481943], [4.35085377, 52.04419667], [4.350699243, 52.04430968], [4.349514283, 52.04378594], [4.349689122, 52.04366078], [4.348329952, 52.04326203], [4.348524964, 52.04312445], [4.347173527, 52.04271523], [4.347371516, 52.0425794], [4.346235202, 52.04202086], [4.346034509, 52.04215444], [4.3451187319999995, 52.04144766], [4.344916556, 52.04157792], [4.344026256, 52.04085682], [4.343827642, 52.04098057], [4.342954934, 52.04025143], [4.342747855, 52.04037691], [4.341898446, 52.03963622], [4.341686011, 52.03976134], [4.340855985, 52.03901204], [4.340630474, 52.03914158], [4.339822859, 52.03838193], [4.339600303, 52.03850975], [4.338582462, 52.03787427], [4.338790872, 52.03775112], [4.337560783, 52.03723334], [4.337757783, 52.03712127], [4.336545284, 52.03658868], [4.336745328, 52.03647854], [4.335526337, 52.03594622], [4.3357449169999995, 52.03583619], [4.334733942, 52.03519247], [4.334505172, 52.03530262], [4.380839882, 51.87274953], [4.3335147780000005, 52.03467928], [4.33372413, 52.03454146], [4.382208081, 51.87244049]]",90.0
